  Step     2,048 | Games     53 | WinRate(last100) 50.9% | epLen  38.6 | KL 0.0045
  Step   522,240 | Games 15,881 | WinRate(last100) 98.0% | epLen  31.8 | KL 0.0140
  Step   524,288 | Games 15,944 | WinRate(last100) 98.0% | epLen  32.2 | KL 0.0184
  Step   526,336 | Games 16,009 | WinRate(last100) 96.0% | epLen  31.6 | KL 0.0195
  Step   528,384 | Games 16,070 | WinRate(last100) 98.0% | epLen  32.4 | KL 0.0126
  Step   530,432 | Games 16,135 | WinRate(last100) 99.0% | epLen  31.8 | KL 0.0188
  Step   532,480 | Games 16,199 | WinRate(last100) 96.0% | epLen  31.8 | KL 0.0133
  Step   534,528 | Games 16,263 | WinRate(last100) 95.0% | epLen  32.2 | KL 0.0176
  Step   536,576 | Games 16,326 | WinRate(last100) 98.0% | epLen  32.5 | KL 0.0228
  Step   538,624 | Games 16,393 | WinRate(last100) 99.0% | epLen  31.7 | KL 0.0129
  Step   540,672 | Games 16,455 | WinRate(last100) 97.0% | epLen  31.8 | KL 0.0157
  Step   542,720 | Games 16,521 | WinRate(last100) 94.0% | epLen  31.6 | KL 0.0183
  Step   544,768 | Games 16,584 | WinRate(last100) 98.0% | epLen  32.0 | KL 0.0151
  Step   546,816 | Games 16,651 | WinRate(last100) 98.0% | epLen  31.1 | KL 0.0177
  Step   548,864 | Games 16,716 | WinRate(last100) 100.0% | epLen  31.0 | KL 0.0142
  Step   550,912 | Games 16,781 | WinRate(last100) 99.0% | epLen  31.0 | KL 0.0174
  Step   552,960 | Games 16,845 | WinRate(last100) 97.0% | epLen  32.0 | KL 0.0179
  Step   555,008 | Games 16,906 | WinRate(last100) 97.0% | epLen  33.3 | KL 0.0136
  Step   557,056 | Games 16,969 | WinRate(last100) 93.0% | epLen  33.6 | KL 0.0176
  Step   559,104 | Games 17,032 | WinRate(last100) 94.0% | epLen  32.8 | KL 0.0187
  Step   561,152 | Games 17,101 | WinRate(last100) 96.0% | epLen  30.8 | KL 0.0224
  Step   563,200 | Games 17,166 | WinRate(last100) 97.0% | epLen  30.9 | KL 0.0163
  Step   565,248 | Games 17,232 | WinRate(last100) 98.0% | epLen  31.1 | KL 0.0215
  Step   567,296 | Games 17,296 | WinRate(last100) 98.0% | epLen  31.7 | KL 0.0148
  Step   569,344 | Games 17,363 | WinRate(last100) 98.0% | epLen  31.0 | KL 0.0227
  Step   571,392 | Games 17,431 | WinRate(last100) 96.0% | epLen  30.1 | KL 0.0193
  Step   573,440 | Games 17,493 | WinRate(last100) 96.0% | epLen  32.0 | KL 0.0215
  Step   575,488 | Games 17,559 | WinRate(last100) 96.0% | epLen  31.5 | KL 0.0119
  Step   577,536 | Games 17,625 | WinRate(last100) 97.0% | epLen  31.1 | KL 0.0121
  Step   579,584 | Games 17,687 | WinRate(last100) 98.0% | epLen  32.3 | KL 0.0220
  Step   581,632 | Games 17,752 | WinRate(last100) 96.0% | epLen  32.2 | KL 0.0167
  Step   583,680 | Games 17,816 | WinRate(last100) 99.0% | epLen  31.8 | KL 0.0192
  Step   585,728 | Games 17,881 | WinRate(last100) 98.0% | epLen  31.9 | KL 0.0145
